,ENTREGA,peso,precio,importe,Nº fra,fecha cierre,Peso cerrado,Peso Devuelto,Exportación,entrega terminada?,pagado,DEVOLUCIÓN,FILTER,Base OT,Base grs,p. cl calculo,p. jofisa,imp. Jofisa,MGN
NJ,18/Sep/25,50,"118,29","5914,5",2025-153.pdf,10/08/2025,50,0,16-9,Finalizado,TRUE,FALSE,TRUE,"3471,09","111,59","118,29","111,84",5592,"322,5"
NJ,18/Sep/25,50,"118,58",5929,2025-154.pdf,10/09/2025,50,0,16-9,Finalizado,TRUE,FALSE,TRUE,3479,"111,86","118,58","112,11","5605,5","323,5"
NJ,18/Sep/25,50,"118,46",5923,2025-155.pdf,10/09/2025,50,0,16-9,Finalizado,TRUE,FALSE,TRUE,"3475,76","111,75","118,46",112,5600,323
NJ,18/Sep/25,50,"116,81","5840,5",2025-157.pdf,10/10/2025,50,0,16-9,Finalizado,TRUE,FALSE,TRUE,"3426,99","110,19","116,81","110,44",5522,"318,5"
NJ,18/Sep/25,50,"122,78",6139,2025-161.pdf,15/10/2025,50,0,16-9,Finalizado,TRUE,FALSE,TRUE,"3613,94","115,83","122,78","116,08",5804,335
NJ,18/Sep/25,50,"122,78",6139,2025-162.pdf,15/10/2025,50,0,16-9,Finalizado,TRUE,FALSE,TRUE,"3613,94","115,83","122,78","116,08",5804,335
NJ,05/Nov/25,50,"124,29","6214,5",2025-167.pdf,20/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,TRUE,"3647,46","117,25","124,29","117,5",5875,"339,5"
NJ,05/Nov/25,50,"124,29","6214,5",2025-168.pdf,20/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,TRUE,"3647,46","117,25","124,29","117,5",5875,"339,5"
NJ,05/Nov/25,50,"125,16",6258,2025-170.pdf,20/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,TRUE,"3672,09","118,07","125,16","118,32",5916,342
NJ,05/Nov/25,50,"127,13","6356,5",2025-171.pdf,20/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,TRUE,"3730,14","119,93","127,13","120,18",6009,"347,5"
NJ,05/Nov/25,50,"121,3",6065,2025-172.pdf,21/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,TRUE,"3558,99","114,43","121,3","114,68",5734,331
NJ,05/Nov/25,50,"121,3",6065,2025-173.pdf,21/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,TRUE,"3558,99","114,43","121,3","114,68",5734,331
NJ,05/Nov/25,50,"118,31","5915,5",2025-174.pdf,22/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,TRUE,"3471,26","111,61","118,31","111,86",5593,"322,5"
NJ,05/Nov/25,50,"118,31","5915,5",2025-175.pdf,22/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,TRUE,"3471,26","111,61","118,31","111,86",5593,"322,5"
NJ,05/Nov/25,50,"121,07","6053,5",2025-176.pdf,23/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,TRUE,"3552,07","114,21","121,07","114,46",5723,"330,5"
NJ,05/Nov/25,50,"121,07","6053,5",2025-177.pdf,23/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,TRUE,"3552,07","114,21","121,07","114,46",5723,"330,5"
NJ,05/Nov/25,50,"121,22",6061,2025-178.pdf,24/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,TRUE,"3554,23","114,35","121,22","114,6",5730,331
NJ,05/Nov/25,50,"121,22",6061,2025-179.pdf,24/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,TRUE,"3554,23","114,35","121,22","114,6",5730,331
NJ,05/Nov/25,50,"121,22",6061,2025-180.pdf,24/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,TRUE,"3554,23","114,35","121,22","114,6",5730,331
