Paquete,Cliente,Tipo genero,Nº Paquete,bruto,Total Fra,Fixing,Dto.,Fino Fra,Igi,Fino x Precio,Base,fino_factura,Expedición,P.V. Jof Cierre,Fra a Jofisa,Margen
E51_10,Nova Joia,"Njoia Chatarra,Lingote Chatarra 18K",10,624.30,€48216.91,,6.50%,440.61,4.50%,€49348.21,€46140.58,440.61,E51,,€49348.21,3207.6
E51_11,OrCash,Lingote Chatarra 18K,11,178.29,€14681.21,€115.07,5.00%,128.52,4.50%,€14788.43,€14049.00,128.52,E51,€114.82,€14756.30,707.3
E51_12,La Milla d'Or,"Milla Chatarra,Lingote Chatarra 18K",12,303.89,€24448.09,€114.88,6.50%,222.81,4.50%,€25021.71,€23395.30,217.81,E51,€114.63,€25540.41,2145.1
E51_13,OrCash,Lingote Chatarra 18K,13,562.99,€46967.72,€115.91,5.00%,408.17,4.50%,€47310.72,€44945.19,408.17,E51,€115.66,€47208.68,2263.5
E51_14,Gaudia,Lingote Chatarra 18K,14,509.88,€41829.86,€116.72,5.00%,361.00,4.50%,€42135.34,€40028.57,361.00,E51,€116.47,€42045.09,2016.5
E51_15,Gemma d'Or,Lingote Chatarra 18K,15,226.40,€16818.69,€116.97,6.50%,147.16,4.50%,€17213.31,€16094.44,147.16,E51,€116.72,€17176.52,1082.1
E51_16,Gaudia,Lingote fino,16,999.93,€106153.89,€112.13,5.00%,996.53,0.00%,€111740.94,€106153.89,996.53,E51,€111.88,€111491.80,5337.9
E51_17,La Milla d'Or,Lingote Chatarra 18K,17,546.92,€43899.23,€112.63,6.50%,398.91,4.50%,€44929.24,€42008.84,398.91,E51,€112.38,€44829.51,2820.7
E51_18,,,18,0.00,€0.00,,6.50%,0.00,4.50%,€0.00,€0.00,0.00,E51,,€0.00,0.0
E51_19,,,19,0.00,€0.00,,6.50%,0.00,4.50%,€0.00,€0.00,0.00,E51,,€0.00,0.0
_,,,,0.00,€0.00,,6.50%,0.00,4.50%,€0.00,€0.00,0.00,,,€0.00,0.0
